lambda,intensity
401.8139534883721,0.753880266075388
407.3953488372093,1.419068736141907
412,3.3259423503325944
415.2093023255814,6.341463414634147
417.4418604651163,9.711751662971176
418.83720930232556,13.170731707317074
420.16279069767444,17.694013303769403
421.4186046511628,21.951219512195124
422.6744186046512,26.252771618625278
423.6511627906977,30.68736141906874
424.48837209302326,34.811529933481154
424.9767441860465,39.423503325942356
425.6744186046512,44.25720620842572
426.30232558139534,48.69179600886918
427.13953488372096,53.348115299334815
428.04651162790697,59.77827050997783
428.8139534883721,65.32150776053216
429.5813953488372,70.73170731707317
430.2093023255814,74.9889135254989
430.83720930232556,79.64523281596453
431.4651162790698,85.32150776053216
432.72093023255815,91.88470066518848
433.69767441860466,95.96452328159646
435.4418604651163,99.82261640798227
437.5348837209302,96.0088691796009
438.30232558139534,91.92904656319291
439.27906976744185,85.41019955654103
440.3255813953488,79.68957871396897
441.0232558139535,75.03325942350334
441.72093023255815,70.82039911308205
442.5581395348837,65.32150776053216
443.4651162790698,59.77827050997783
444.37209302325584,53.348115299334815
446.04651162790697,45.05543237250555
447.72093023255815,39.15742793791575
449.8837209302326,32.283813747228386
451.9767441860465,25.67627494456763
454.7674418604651,19.645232815964526
457.69767441860466,13.791574279379159
461.1860465116279,9.534368070953438
465.30232558139534,6.208425720620843
471.8604651162791,3.2815964523281598
478.06976744186045,1.5964523281596454
486.30232558139534,0.6651884700665189
493.9767441860465,0.17738359201773837
